post_id,city_name,post_status,_wp_page_template,post_category,post_title,ewg_utility_name,ewg_description,ewg_people,ewg_source,ewg_exceed_number,ewg_total_number,ewg_date,ewg_data_source,ewg_exceed,ewg_other
,Fair Lawn Boro,publish,usacitypage.php,"North America,United States of America,New Jersey",Is Fair Lawn Boro Tap Water Safe to Drink?,Hawthorne Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the New Jersey Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,21006,https://www.ewg.org/tapwater/system.php?pws=NJ1604001,2,6,2012-2017,Groundwater,"Chromium (hexavalent),Perfluorooctanoic acid (PFOA),,,,,,,,,,,,,,,,,,","1%2C4-Dioxane,Chlorate,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Fair Lawn Boro,publish,usacitypage.php,"North America,United States of America,New Jersey",Is Fair Lawn Boro Tap Water Safe to Drink?,Fair Lawn Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the New Jersey Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,31000,https://www.ewg.org/tapwater/system.php?pws=NJ0217001,14,33,2012-2017,Purchased surface water,"Arsenic,Bromodichloromethane,Bromoform,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate,Perfluorooctane sulfonate (PFOS),Perfluorooctanoic acid (PFOA),Tetrachloroethylene (perchloroethylene),Total trihalomethanes (TTHMs),Trichloroacetic acid,Uranium,,,,,,","1%2C4-Dioxane,Aluminum,Barium,Beryllium,Cadmium,Chlorate,Chromium (total),Cobalt,Dibromoacetic acid,Haloacetic acids (HAA5),Manganese,Mercury (inorganic),Molybdenum,Monobromoacetic acid,Monochloroacetic acid,Selenium,Strontium,Thallium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Fair Oaks,publish,usacitypage.php,"North America,United States of America,California",Is Fair Oaks Tap Water Safe to Drink?,Fair Oaks Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,40000,https://www.ewg.org/tapwater/system.php?pws=CA3410009,2,10,2012-2017,Purchased surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","Chlorate,Chromium (total),Haloacetic acids (HAA5),Molybdenum,Nitrate,Strontium,tert-Butyl alcohol,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6658,Fairbanks,publish,usacitypage.php,"North America,United States of America,Alaska",Is Fairbanks Tap Water Safe to Drink?,Golden Heart Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alaska Department of Environmental Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,78324,https://www.ewg.org/tapwater/system.php?pws=AK2310730,7,15,2012-2017,Groundwater,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dichloroacetic acid,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,","Chlorate,Haloacetic acids (HAA5),Perfluorohexane sulfonate (PFHXS),Perfluorohexanoic Acid (PFHxA),Perfluorooctane sulfonate (PFOS),Perfluorooctanoic acid (PFOA),Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Fairborn,publish,usacitypage.php,"North America,United States of America,Ohio",Is Fairborn Tap Water Safe to Drink?,Fairborn Public Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Ohio Environmental Protection Agency - Division of Drinking and Ground Waters%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,32352,https://www.ewg.org/tapwater/system.php?pws=OH2900612,10,19,2012-2017,Groundwater,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate,Nitrate and nitrite,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,","Barium,Bromochloroacetic acid,Bromoform,Chromium (total),Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Molybdenum,Strontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Fairburn,publish,usacitypage.php,"North America,United States of America,Georgia",Is Fairburn Tap Water Safe to Drink?,Fairburn,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Georgia Department of Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,13693,https://www.ewg.org/tapwater/system.php?pws=GA1210004,8,14,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent)*,Dibromochloromethane,Dichloroacetic acid,Nitrate and nitrite*,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,","Chlorate*,Fluoride*,Haloacetic acids (HAA5),Monochloroacetic acid,Strontium*,Vanadium*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6659,Fairfax,publish,usacitypage.php,"North America,United States of America,Virginia",Is Fairfax Tap Water Safe to Drink?,Fairfax County Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Virginia Department of Health - Office of Drinking Water%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,1074422,https://www.ewg.org/tapwater/system.php?pws=VA6059501,11,26,2012-2017,Surface water,"Bromate,Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate,Nitrate and nitrite,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,","Aluminum,Atrazine,Barium,Bromide,Bromoform,Chlorate,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Molybdenum,Monochloroacetic acid,Nitrite,Strontium,Tritium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Fairfax County,publish,usacitypage.php,"North America,United States of America,Virginia",Is Fairfax County Tap Water Safe to Drink?,Fort Belvoir,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Virginia Department of Health - Office of Drinking Water%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,37000,https://www.ewg.org/tapwater/system.php?pws=VA6059450,7,16,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,","Bromoform,Chlorate,Chromium (total),Dibromoacetic acid,Haloacetic acids (HAA5),Molybdenum,Monochloroacetic acid,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6660,Fairfield,publish,usacitypage.php,"North America,United States of America,California",Is Fairfield Tap Water Safe to Drink?,City of Fairfield,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,100147,https://www.ewg.org/tapwater/system.php?pws=CA4810003,6,19,2012-2017,Surface water,"Arsenic,Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Total trihalomethanes (TTHMs),,,,,,,,,,,,,,","4-Androstene-3%2C17-dione,Aluminum,Bromate,Bromide,Chlorate,Fluoride,Haloacetic acids (HAA5),Methyl ethyl ketone,Molybdenum,Nitrate,Nitrate and nitrite,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Fairfield,publish,usacitypage.php,"North America,United States of America,Ohio",Is Fairfield Tap Water Safe to Drink?,Fairfield City PWS,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Ohio Environmental Protection Agency - Division of Drinking and Ground Waters%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,42647,https://www.ewg.org/tapwater/system.php?pws=OH0900715,10,17,2012-2017,Groundwater,"1%2C4-Dioxane,Bromodichloromethane,Bromoform,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate,Nitrate and nitrite,Total trihalomethanes (TTHMs),,,,,,,,,,","Barium,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Molybdenum,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
