post_id,city_name,post_status,_wp_page_template,post_category,post_title,ewg_utility_name,ewg_description,ewg_people,ewg_source,ewg_exceed_number,ewg_total_number,ewg_date,ewg_data_source,ewg_exceed,ewg_other
,Harker Heights,publish,usacitypage.php,"North America,United States of America,Texas",Is Harker Heights Tap Water Safe to Drink?,City of Harker Heights,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,30365,https://www.ewg.org/tapwater/system.php?pws=TX0140023,9,27,2012-2017,Purchased surface water,"Arsenic*,Atrazine*,Bromodichloromethane,Chloroform,Dibromochloromethane,Dichloroacetic acid,Nitrate,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,","Aluminum*,Barium*,Bromochloroacetic acid,Bromoform,Chromium (hexavalent),Chromium (total),Cyanide*,Dibromoacetic acid,Diethyl phthalate*,Fluoride*,Haloacetic acids (HAA5),Hexadecanoic acid*,Manganese*,Molybdenum,Monochloroacetic acid,Nitrate and nitrite,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6724,Harlingen,publish,usacitypage.php,"North America,United States of America,Texas",Is Harlingen Tap Water Safe to Drink?,Harlingen Water Works System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,85900,https://www.ewg.org/tapwater/system.php?pws=TX0310002,9,28,2012-2017,Surface water,"Arsenic,Bromodichloromethane,Bromoform,Chloroform,Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,Uranium,,,,,,,,,,,","Aluminum,Barium,Bromochloroacetic acid,Carbon tetrachloride,Chromium (hexavalent),Cyanide,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Hexadecanoic acid,Manganese,Molybdenum,Monobromoacetic acid,Nitrate,Octadecanoic acid,Selenium,Strontium,Tetradecanoic acid,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harper Woods,publish,usacitypage.php,"North America,United States of America,Michigan",Is Harper Woods Tap Water Safe to Drink?,Harper Woods,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Michigan Department of Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,14236,https://www.ewg.org/tapwater/system.php?pws=MI0003020,2,6,2012-2017,Purchased surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","Chromium (total),Haloacetic acids (HAA5),Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harriman,publish,usacitypage.php,"North America,United States of America,Tennesse",Is Harriman Tap Water Safe to Drink?,Watts Bar Utility District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Tennessee Department of Environment & Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,12942,https://www.ewg.org/tapwater/system.php?pws=TN0000872,7,11,2012-2017,Purchased groundwater under influence of surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Nitrate,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,","Chlorate,Haloacetic acids (HAA5),Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harriman,publish,usacitypage.php,"North America,United States of America,Tennessee",Is Harriman Tap Water Safe to Drink?,Harriman Utility Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Tennessee Department of Environment & Conservation%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,15393,https://www.ewg.org/tapwater/system.php?pws=TN0000287,6,10,2012-2017,Surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,","Chlorate,Haloacetic acids (HAA5),Nitrate,Strontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harris County,publish,usacitypage.php,"North America,United States of America,Texas",Is Harris County Tap Water Safe to Drink?,Clear Lake City Water Authority,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,85636,https://www.ewg.org/tapwater/system.php?pws=TX1010056,8,27,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Dibromochloromethane,Dichloroacetic acid,Nitrate,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,","Acetone,Atrazine,Barium,Bromochloroacetic acid,Bromoform,Chromium (hexavalent),Cyanide,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Hexadecanoic acid,Manganese,Molybdenum,Monochloroacetic acid,Nitrate and nitrite,Nitrite,Simazine,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6725,Harrisburg,publish,usacitypage.php,"North America,United States of America,North Carolina",Is Harrisburg Tap Water Safe to Drink?,Harrisburg,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the North Carolina Department of Environment and Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,14633,https://www.ewg.org/tapwater/system.php?pws=NC0113025,7,17,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,","Bromoform,Chlorate,Chromium (total),Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Manganese,Monochloroacetic acid,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6726,Harrison,publish,usacitypage.php,"North America,United States of America,Arkansas",Is Harrison Tap Water Safe to Drink?,Harrison Waterworks,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Arkansas Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,16905,https://www.ewg.org/tapwater/system.php?pws=AR0000062,5,12,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,,,","Chromium (hexavalent),Dibromochloromethane,Fluoride*,Haloacetic acids (HAA5),Nitrate and nitrite*,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harrison County,publish,usacitypage.php,"North America,United States of America,Kentucky",Is Harrison County Tap Water Safe to Drink?,Harrison County Water Assoc,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,16736,https://www.ewg.org/tapwater/system.php?pws=KY0490179,2,8,2012-2017,Purchased surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","Chlorate,Chromium (total),Haloacetic acids (HAA5),Molybdenum,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harrison County,publish,usacitypage.php,"North America,United States of America,Mississippi",Is Harrison County Tap Water Safe to Drink?,Diberville WS,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Mississippi State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,11496,https://www.ewg.org/tapwater/system.php?pws=MS0240002,6,12,2012-2017,Groundwater,"Bromodichloromethane,Chloroform,Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,,","Barium,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Monobromoacetic acid,Monochloroacetic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harrison Town,publish,usacitypage.php,"North America,United States of America,New Jersey",Is Harrison Town Tap Water Safe to Drink?,Harrison W Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the New Jersey Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,14425,https://www.ewg.org/tapwater/system.php?pws=NJ0904001,1,6,2012-2017,Purchased surface water,"Chromium (hexavalent),,,,,,,,,,,,,,,,,,,","1%2C4-Dioxane*,Chlorate,Strontium,Testosterone*,Vanadium*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harrison Township,publish,usacitypage.php,"North America,United States of America,Michigan",Is Harrison Township Tap Water Safe to Drink?,Harrison Township,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Michigan Department of Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,24500,https://www.ewg.org/tapwater/system.php?pws=MI0003040,2,5,2012-2017,Purchased surface water,"Chromium (hexavalent),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,,,","Haloacetic acids (HAA5),Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harrisonburg,publish,usacitypage.php,"North America,United States of America,Virginia",Is Harrisonburg Tap Water Safe to Drink?,City of Harrisonburg,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Virginia Department of Health - Office of Drinking Water%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,48914,https://www.ewg.org/tapwater/system.php?pws=VA2660345,8,16,2012-2017,Surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate and nitrite,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,","Aluminum,Barium,Chlorate,Fluoride,Haloacetic acids (HAA5),Monochloroacetic acid,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harrodsburg,publish,usacitypage.php,"North America,United States of America,Kentucky",Is Harrodsburg Tap Water Safe to Drink?,Harrodsburg Municipal Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,10226,https://www.ewg.org/tapwater/system.php?pws=KY0840180,4,14,2012-2017,Surface water,"Chromium (hexavalent),Nitrate,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,,","Atrazine,Barium,Chlorate,Chromium (total),Fluoride,Haloacetic acids (HAA5),Molybdenum,Simazine,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Hart County,publish,usacitypage.php,"North America,United States of America,Kentucky",Is Hart County Tap Water Safe to Drink?,Green River Valley Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,17431,https://www.ewg.org/tapwater/system.php?pws=KY0500166,5,16,2012-2017,Surface water,"Arsenic,Chromium (hexavalent),Nitrate,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,,","Aluminum,Barium,Chlorate,Chromium (total),Cyanide,Fluoride,Haloacetic acids (HAA5),Manganese,Strontium,Testosterone,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6727,Hartford,publish,usacitypage.php,"North America,United States of America,Wisconsin",Is Hartford Tap Water Safe to Drink?,Hartford Waterworks,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Wisconsin Department of Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,15384,https://www.ewg.org/tapwater/system.php?pws=WI2670110,11,20,2012-2017,Groundwater,"Arsenic,Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate,Nitrate and nitrite,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,","Barium,Bromoform,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Manganese,Monobromoacetic acid,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Hartselle,publish,usacitypage.php,"North America,United States of America,Alabama",Is Hartselle Tap Water Safe to Drink?,Hartselle Utility Board,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,20631,https://www.ewg.org/tapwater/system.php?pws=AL0001086,7,14,2012-2017,Purchased surface water,"Bromodichloromethane*,Chloroform*,Chromium (hexavalent),Dibromochloromethane*,Nitrate*,Nitrate and nitrite*,Total trihalomethanes (TTHMs),,,,,,,,,,,,,","1%2C4-Dioxane,Chlorate,Chromium (total),Fluoride*,Haloacetic acids (HAA5),Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harvest,publish,usacitypage.php,"North America,United States of America,Alabama",Is Harvest Tap Water Safe to Drink?,Harvest-Monrovia Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Alabama Department of Environmental Management%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,32109,https://www.ewg.org/tapwater/system.php?pws=AL0000878,6,18,2012-2017,Purchased groundwater under influence of surface water,"Bromodichloromethane,Chromium (hexavalent),Nitrate,Nitrate and nitrite,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,","Barium,Chlorate,Chloroform,Chromium (total),Dibromochloromethane,Haloacetic acids (HAA5),Manganese,Selenium,Silver,Simazine,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harvey,publish,usacitypage.php,"North America,United States of America,Illinois",Is Harvey Tap Water Safe to Drink?,Harvey,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Illinois Environmental Protection Agency%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,30000,https://www.ewg.org/tapwater/system.php?pws=IL0311110,10,22,2012-2017,Purchased surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate*,Nitrate and nitrite*,Radium%2C combined (-226 & -228)*,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,","4-Androstene-3%2C17-dione*,Barium*,Chromium (total),Dibromoacetic acid,Fluoride*,Haloacetic acids (HAA5),Molybdenum,Monobromoacetic acid,Monochloroacetic acid,Strontium,Testosterone*,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harwich,publish,usacitypage.php,"North America,United States of America,Massachusetts",Is Harwich Tap Water Safe to Drink?,Harwich Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,38643,https://www.ewg.org/tapwater/system.php?pws=MA4126000,8,24,2012-2017,Groundwater,"Arsenic,Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Nitrate,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,","Aluminum,Barium,Bromoform,Chlorate,Chromium (total),Dibromoacetic acid,Dichloroacetic acid,Haloacetic acids (HAA5),Manganese,Molybdenum,Monobromoacetic acid,MTBE,Perchlorate,Selenium,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Harwinton,publish,usacitypage.php,"North America,United States of America,Connecticut",Is Harwinton Tap Water Safe to Drink?,Torrington Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Connecticut Department of Public Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,37915,https://www.ewg.org/tapwater/system.php?pws=CT1430011,6,20,2012-2017,Surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,,","Aluminum,Barium,Chlorate,Chromium (total),Dibromochloromethane,Fluoride,Haloacetic acids (HAA5),Manganese,Monobromoacetic acid,Monochloroacetic acid,Nitrate,Nitrate and nitrite,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Hastings,publish,usacitypage.php,"North America,United States of America,Minnesota",Is Hastings Tap Water Safe to Drink?,Hastings,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Minnesota Department of Health - Environmental Health Division%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,22335,https://www.ewg.org/tapwater/system.php?pws=MN1190012,4,10,2012-2017,Groundwater,"Chromium (hexavalent),Nitrate,Perfluorooctanoic acid (PFOA),Radium%2C combined (-226 & -228),,,,,,,,,,,,,,,,","Bromide,Chromium (total),Fluoride,Molybdenum,Perfluorobutanoic Acid (PFBA),Strontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Hastings,publish,usacitypage.php,"North America,United States of America,Nebraska",Is Hastings Tap Water Safe to Drink?,City of Hastings,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Nebraska Department of Health and Human Services%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,25224,https://www.ewg.org/tapwater/system.php?pws=NE3100101,4,14,2012-2017,Groundwater,"Chromium (hexavalent),Nitrate and nitrite,Radium%2C combined (-226 & -228),Uranium,,,,,,,,,,,,,,,,","1%2C1-Dichloroethylene,Chlorate,Chlorodifluoromethane,Chloroform,Fluoride,Molybdenum,Strontium,Tetrachloroethylene (perchloroethylene),Total trihalomethanes (TTHMs),Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6728,Hattiesburg,publish,usacitypage.php,"North America,United States of America,Mississippi",Is Hattiesburg Tap Water Safe to Drink?,City of Hattiesburg,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Mississippi State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,46000,https://www.ewg.org/tapwater/system.php?pws=MS0180008,6,11,2012-2017,Groundwater,"Bromodichloromethane,Chloroform,Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,,","Barium,Fluoride,Haloacetic acids (HAA5),Monochloroacetic acid,Strontium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Havelock,publish,usacitypage.php,"North America,United States of America,North Carolina",Is Havelock Tap Water Safe to Drink?,Havelock Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the North Carolina Department of Environment and Natural Resources%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,14246,https://www.ewg.org/tapwater/system.php?pws=NC0425015,6,13,2012-2017,Groundwater,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,,,","Chlorate,Fluoride,Haloacetic acids (HAA5),Hexachlorocyclopentadiene,Monochloroacetic acid,Strontium,Xylenes (total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6729,Haverhill,publish,usacitypage.php,"North America,United States of America,Massachusetts",Is Haverhill Tap Water Safe to Drink?,Haverhill Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,56580,https://www.ewg.org/tapwater/system.php?pws=MA3128000,6,17,2012-2017,Surface water,"Bromodichloromethane,Chloroform,Chromium (hexavalent),Dibromochloromethane,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,,,,,","Antimony,Barium,Chlorate,Fluoride,Haloacetic acids (HAA5),Manganese,Molybdenum,Nitrate,Perchlorate,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Havre De Grace,publish,usacitypage.php,"North America,United States of America,Maryland",Is Havre De Grace Tap Water Safe to Drink?,City of Havre De Grace,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Maryland Department of the Environment%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,14000,https://www.ewg.org/tapwater/system.php?pws=MD0120012,6,19,2012-2017,Surface water,"Arsenic,Cadmium,Chromium (hexavalent),Nitrate,Thallium,Total trihalomethanes (TTHMs),,,,,,,,,,,,,,","1%2C4-Dioxane,Antimony,Barium,Beryllium,Chlorate,Chromium (total),Di(2-ethylhexyl) phthalate,Fluoride,Haloacetic acids (HAA5),Mercury (inorganic),Selenium,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Hawthorne,publish,usacitypage.php,"North America,United States of America,California",Is Hawthorne Tap Water Safe to Drink?,Hawthorne Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,43545,https://www.ewg.org/tapwater/system.php?pws=CA1910047,8,17,2012-2017,Purchased surface water,"Bromodichloromethane,Bromoform,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Total trihalomethanes (TTHMs),Trichloroacetic acid,,,,,,,,,,,,","Chlorate,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Manganese,Molybdenum,Monobromoacetic acid,Strontium,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,Hays,publish,usacitypage.php,"North America,United States of America,Kansas",Is Hays Tap Water Safe to Drink?,City of Hays,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kansas Department of Health and Environment%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,21044,https://www.ewg.org/tapwater/system.php?pws=KS2005111,10,22,2012-2017,Groundwater,"Arsenic,Bromodichloromethane,Bromoform,Chloroform,Chromium (hexavalent),Dibromochloromethane,Dichloroacetic acid,Nitrate,Radium%2C combined (-226 & -228),Total trihalomethanes (TTHMs),,,,,,,,,,","Barium,Chlorate,Dibromoacetic acid,Fluoride,Haloacetic acids (HAA5),Molybdenum,Monobromoacetic acid,Monochloroacetic acid,Selenium,Strontium,Trichloroacetic acid,Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
